INFO 2025-12-27 17:05:46,166 storeadmin Dashboard accessed
INFO 2025-12-27 17:05:51,400 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-27 17:05:51,401 storeadmin Dashboard accessed
INFO 2025-12-27 17:11:28,518 storeadmin Dashboard accessed
INFO 2025-12-27 18:15:50,518 storeadmin Product UPDATED: '6 Seater Sofa' | Store: TMS FURNITURES | User: vd | IP: 127.0.0.1
INFO 2025-12-27 18:16:52,683 storeadmin Product UPDATED: '6 Seater Sofa' | Store: TMS FURNITURES | User: vd | IP: 127.0.0.1
INFO 2025-12-27 18:20:05,355 storeadmin Product UPDATED: '6 Seater Sofa' | Store: TMS FURNITURES | User: vd | IP: 127.0.0.1
INFO 2025-12-27 18:23:37,510 storeadmin Product UPDATED: '6 Seater Sofa' | Store: TMS FURNITURES | User: vd | IP: 127.0.0.1
INFO 2025-12-28 12:44:09,028 storeadmin Dashboard accessed
INFO 2025-12-28 12:45:20,011 storeadmin Product UPDATED: '2 Seater Sofa' | Store: TMS FURNITURES | User: vd | IP: 127.0.0.1
INFO 2025-12-28 13:05:31,051 storeadmin Dashboard accessed
INFO 2025-12-28 13:18:50,308 storeadmin Dashboard accessed
INFO 2025-12-28 13:26:06,310 storeadmin Dashboard accessed
INFO 2025-12-28 13:31:26,504 storeadmin Dashboard accessed
INFO 2025-12-28 15:36:58,826 storeadmin Product UPDATED: '2 Seater Sofa' | Store: TMS FURNITURES | User: vd | IP: 127.0.0.1
INFO 2025-12-28 16:50:52,195 storeadmin Main image updated for 'Rolling Chair pairs' | Store: TMS FURNITURES | User: vd
INFO 2025-12-28 16:50:52,233 storeadmin Product UPDATED: 'Rolling Chair pairs' | Store: TMS FURNITURES | User: vd | IP: 127.0.0.1
INFO 2025-12-28 18:35:10,662 storeadmin Dashboard accessed
INFO 2025-12-28 19:19:15,381 storeadmin Dashboard accessed
INFO 2025-12-29 10:03:14,506 storeadmin Dashboard accessed
INFO 2025-12-29 10:12:54,740 storeadmin Category ADDED: 'Furnitures' | Store: TMS TRADERS | User: admin@tmstraders.com
INFO 2025-12-29 10:14:49,633 storeadmin Dashboard accessed
INFO 2025-12-29 10:14:51,853 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-29 10:14:51,854 storeadmin Dashboard accessed
INFO 2025-12-29 10:33:16,301 storeadmin Main image updated for 'DEsk with table' | Store: TMS TRADERS | User: admin@tmstraders.com
INFO 2025-12-29 10:33:16,356 storeadmin Product UPDATED: 'DEsk with table' | Store: TMS TRADERS | User: admin@tmstraders.com | IP: 127.0.0.1
INFO 2025-12-29 10:47:25,281 storeadmin Dashboard accessed
INFO 2025-12-29 11:19:31,635 storeadmin Dashboard accessed
INFO 2025-12-29 11:19:46,950 storeadmin Lead status updated: New Enquiry to Converted | Lead ID: 113 | Customer: tamil | Store: TMS TRADERS | User: admin@tmstraders.com
INFO 2025-12-29 11:19:50,767 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-29 11:19:50,768 storeadmin Dashboard accessed
INFO 2025-12-29 11:19:53,576 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-29 11:19:53,576 storeadmin Dashboard accessed
INFO 2025-12-29 11:19:55,348 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-29 11:19:55,349 storeadmin Dashboard accessed
INFO 2025-12-29 11:19:57,807 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-29 11:19:57,808 storeadmin Dashboard accessed
INFO 2025-12-29 11:20:05,872 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-29 11:20:05,873 storeadmin Dashboard accessed
INFO 2025-12-29 11:20:47,010 storeadmin Dashboard accessed (cache hit)
INFO 2025-12-29 11:20:47,011 storeadmin Dashboard accessed
INFO 2025-12-29 11:29:42,789 storeadmin Dashboard accessed
